Sample	Reads	FastqPath
ID_PE002	2015296	/Users/pontus.hojer/analysis/DBS-Pro_Exosomes/201209_DBS-Pro_P19403/rawdata/P19403_1004/02-FASTQ/201208_M01548_0365_000000000-JCFTY/P19403_1004_S4_L001_R1_001.fastq.gz
ID_PE009	2731408	/Users/pontus.hojer/analysis/DBS-Pro_Exosomes/201209_DBS-Pro_P19403/rawdata/P19403_1005/02-FASTQ/201208_M01548_0365_000000000-JCFTY/P19403_1005_S5_L001_R1_001.fastq.gz
ID_PE011	731517	/Users/pontus.hojer/analysis/DBS-Pro_Exosomes/201209_DBS-Pro_P19403/rawdata/P19403_1006/02-FASTQ/201208_M01548_0365_000000000-JCFTY/P19403_1006_S6_L001_R1_001.fastq.gz
